436004.8,691200.8,2390.0
436072.0,694937.3,2369.3
436139.1,698673.8,2348.7
436206.3,702410.3,2328.0
436269.3,706146.8,2307.4
436323.8,709883.5,2286.7
436378.2,713620.2,2266.0
436432.7,717356.9,2245.4
436487.1,721093.6,2224.7
436541.5,724830.3,2204.1
436596.0,728567.0,2183.4
436650.4,732303.7,2162.7
434647.5,734873.9,2148.5
434985.3,738595.7,2127.9
434672.8,741944.3,2109.4
433778.8,743838.0,2099.0
436431.8,746322.1,2085.2
436727.9,750034.4,2064.7
438493.0,753035.2,2048.1
439067.4,756727.9,2027.7
439316.2,760425.5,2007.2
438853.9,764133.9,1986.7
438391.6,767842.3,1966.2
437620.2,771339.7,1946.9
434480.4,772386.8,1941.1
431670.4,770872.5,1949.5
429021.9,769496.1,1957.1
428525.7,765978.4,1976.5
428952.7,762265.8,1997.1
428429.2,758702.7,2016.8
426882.7,755300.6,2035.6
425336.1,751898.6,2054.4
426193.6,748594.5,2072.7
428012.0,745329.7,2090.7
427729.9,742045.6,2108.9
425971.4,738748.1,2127.1
426012.4,735191.7,2146.8
426770.1,731532.2,2167.0
427527.7,727872.7,2187.2
428198.3,724203.2,2207.5
428288.8,720467.2,2228.2
428379.4,716731.2,2248.8
428469.9,712995.3,2269.5
428560.5,709259.3,2290.2
428651.0,705523.3,2310.8
428741.6,701787.3,2331.5
429567.6,698165.5,2351.5
430614.7,694578.1,2371.3
431661.8,690990.8,2391.2
432709.0,687403.4,2411.0
433605.7,683777.0,2431.0
434432.2,680132.5,2451.2
435258.7,676487.9,2471.4
436085.3,672843.4,2491.5
433967.7,669767.4,2508.5
431843.6,666692.6,2525.5
429151.2,667958.3,2518.5
426307.2,670382.6,2505.1
427688.6,673472.8,2488.0
429649.1,676654.4,2470.4
429019.0,679916.7,2452.4
427260.5,683214.3,2434.2
425844.1,686605.9,2415.4
425668.5,690338.9,2394.8
425492.8,694071.8,2374.1
424228.4,697264.8,2356.5
421362.9,699663.7,2343.2
418497.4,702062.6,2329.9
416298.8,703319.2,2323.0
416979.2,699644.5,2343.3
417659.6,695969.9,2363.6
417716.2,692560.7,2382.5
414596.4,690503.4,2393.9
411476.6,688446.1,2405.2
412698.5,685885.0,2419.4
415264.3,683167.9,2434.4
417753.9,680414.2,2449.6
418274.7,676713.5,2470.1
418795.4,673012.9,2490.6
419387.8,669347.1,2510.8
421981.0,666656.3,2525.7
424574.3,663965.4,2540.6
427167.5,661274.5,2555.5
429760.8,658583.6,2570.3
431179.9,655716.5,2586.2
429491.1,652382.8,2604.6
426966.8,650151.6,2617.0
423482.7,649120.8,2622.7
421091.1,646249.2,2638.5
418699.5,643377.6,2654.4
416308.0,640506.0,2670.3
413916.4,637634.4,2686.2
411041.3,635755.9,2696.6
407305.9,635644.7,2697.2
405429.2,638811.8,2679.7
403606.6,642074.3,2661.6
400731.2,639791.6,2674.3
397839.7,637424.1,2687.3
399156.3,634027.8,2706.1
400629.5,630593.4,2725.1
403226.7,627946.8,2739.7
406114.8,625653.8,2752.4
409625.0,624371.5,2759.5
411356.2,622150.7,2771.8
410432.7,618529.5,2791.8
409509.1,614908.4,2811.8
407799.9,611732.0,2829.4
404453.9,610794.2,2834.6
400716.8,610794.2,2834.6
398298.7,609734.1,2840.4
399102.6,606084.5,2860.6
400870.9,604044.3,2871.9
402985.1,603014.6,2877.6
403134.4,599280.5,2898.2
404288.3,595969.4,2916.6
402214.0,593833.9,2928.4
400415.5,594477.8,2924.8
400301.7,590742.4,2945.5
399569.3,587085.6,2965.7
400364.0,583541.6,2985.3
401920.8,583712.1,2984.3
403718.0,586988.7,2966.2
407172.9,588047.6,2960.4
410693.0,586919.8,2966.6
413539.0,589234.4,2953.8
416359.8,591685.8,2940.2
417810.9,594857.6,2922.7
418232.9,598570.8,2902.2
418506.9,602160.5,2882.3
414778.2,602410.3,2880.9
411886.7,603274.4,2876.2
412767.0,606906.3,2856.1
414357.4,610029.4,2838.8
417513.7,612030.1,2827.7
420925.9,613309.6,2820.7
422403.9,616169.8,2804.9
423141.9,619833.3,2784.6
423032.1,623552.4,2764.0
422779.0,627280.9,2743.4
424827.7,628663.0,2735.8
428550.6,628338.2,2737.6
429447.9,630748.6,2724.3
429002.0,634459.0,2703.7
428556.1,638169.4,2683.2
430924.5,638129.4,2683.4
434362.4,636664.2,2691.5
437584.9,635659.7,2697.1
438665.9,639237.0,2677.3
440265.4,642602.7,2658.7
441996.8,645914.5,2640.4
443173.7,646271.9,2638.4
443586.3,642557.7,2659.0
445415.3,640425.8,2670.7
449099.7,639920.9,2673.5
452756.5,639150.4,2677.8
456325.4,638067.5,2683.8
456866.4,634865.8,2701.5
456603.8,631138.0,2722.1
456341.3,627410.1,2742.7
456078.7,623682.2,2763.3
457328.9,621938.1,2773.0
460854.4,623177.7,2766.1
463427.8,625830.9,2751.4
465780.9,627755.0,2740.8
467404.8,624389.2,2759.4
469028.7,621023.4,2778.0
470652.6,617657.6,2796.6
471565.3,614210.6,2815.7
470741.6,610565.4,2835.8
469918.0,606920.2,2856.0
470383.8,603271.4,2876.2
471187.0,599621.6,2896.4
472323.8,596240.7,2915.0
475719.9,594681.1,2923.7
477547.8,597597.8,2907.5
477998.1,601243.9,2887.4
480734.8,603788.8,2873.3
483471.5,606333.6,2859.2
486208.3,608878.4,2845.2
487603.7,608736.1,2846.0
487214.8,605019.3,2866.5
486825.9,601302.5,2887.1
486437.0,597585.7,2907.6
486048.1,593868.9,2928.2
485659.3,590152.1,2948.7
485270.4,586435.3,2969.3
482822.9,583757.5,2984.1
480063.8,581236.9,2998.0
477304.8,578716.2,3011.9
476010.6,575798.9,3028.1
477120.6,572230.5,3047.8
478230.7,568662.1,3067.5
479340.7,565093.6,3087.3
480672.9,566767.5,3078.0
482080.8,570229.2,3058.9
483432.5,572873.9,3044.2
484352.8,569251.9,3064.3
485273.0,565629.9,3084.3
486193.2,562007.9,3104.3
487113.5,558385.9,3124.4
488033.7,554763.9,3144.4
488953.9,551141.8,3164.4
489874.2,547519.8,3184.4
490794.4,543897.8,3204.5
489306.7,540489.7,3223.3
487762.3,537086.7,3242.1
485376.7,538878.9,3232.2
484653.4,542388.9,3212.8
484187.8,545316.5,3196.6
481798.9,542442.6,3212.5
479410.0,539568.8,3228.4
477021.1,536695.0,3244.3
475015.8,536765.1,3243.9
473443.0,540155.2,3225.2
471870.3,543545.2,3206.4
470297.5,546935.2,3187.7
468724.8,550325.2,3168.9
467814.8,547266.2,3185.8
466964.4,543627.1,3206.0
466114.1,539988.0,3226.1
465204.0,536366.7,3246.1
463935.9,532851.3,3265.5
462667.8,529336.0,3285.0
461399.7,525820.6,3304.4
460131.5,522305.2,3323.8
461767.7,519738.8,3338.0
464866.7,517650.3,3349.6
467285.7,520347.9,3334.7
467995.2,518406.9,3345.4
468075.7,514670.7,3366.1
468156.2,510934.5,3386.7
468236.7,507198.3,3407.4
468802.2,508175.2,3402.0
469622.8,511820.4,3381.8
470190.9,515514.0,3361.4
470759.1,519207.7,3341.0
472396.2,522545.6,3322.5
473315.8,526092.8,3302.9
473646.6,529815.2,3282.3
472306.3,532991.2,3264.8
469840.2,535799.0,3249.2
466992.6,534926.7,3254.1
468784.1,532053.9,3269.9
471090.2,529113.2,3286.2
473396.3,526172.5,3302.5
475702.5,523231.8,3318.7
478008.6,520291.1,3335.0
478586.7,520969.3,3331.2
477749.5,524611.4,3311.1
477166.2,527623.2,3294.4
479087.1,524417.6,3312.2
481008.0,521211.9,3329.9
482928.9,518006.3,3347.6
484849.8,514800.7,3365.3
484759.5,511924.9,3381.2
482898.4,508749.4,3398.8
481305.6,505368.7,3417.5
479712.9,501988.0,3436.2
478120.1,498607.3,3454.9
476865.2,495273.8,3473.3
479322.3,492458.0,3488.9
481133.9,489389.5,3505.8
481241.6,485654.0,3526.5
481349.3,481918.5,3547.2
480621.5,478965.4,3563.5
476886.9,478828.0,3564.2
473152.3,478690.7,3565.0
473269.7,475070.1,3585.0
473507.5,471340.6,3605.6
473745.3,467611.1,3626.3
473385.8,464248.6,3644.9
469951.0,462776.4,3653.0
467619.6,463743.0,3647.6
466457.9,467294.9,3628.0
465296.1,470846.9,3608.4
464690.6,474388.5,3588.8
465982.6,477895.2,3569.4
467274.6,481401.9,3550.0
464530.6,482409.4,3544.4
460815.6,482815.8,3542.2
457663.5,482610.5,3543.3
457759.9,478874.6,3564.0
457856.3,475138.8,3584.6
455731.6,473935.4,3591.3
452040.3,474518.4,3588.1
448328.8,474896.6,3586.0
446627.9,473532.4,3593.5
447846.9,469999.7,3613.1
448853.8,466429.8,3632.8
448910.7,462693.1,3653.5
446215.2,461222.7,3661.6
442537.1,460561.3,3665.2
438859.0,459899.9,3668.9
437171.4,457812.1,3680.4
437727.2,454116.6,3700.9
434803.5,452626.9,3709.1
431567.7,451247.8,3716.7
430924.6,447566.4,3737.1
430281.6,443885.1,3757.4
430217.0,445285.5,3749.7
430417.8,449017.2,3729.1
430618.6,452748.9,3708.4
430819.4,456480.6,3687.8
431020.3,460212.2,3667.2
431221.1,463943.9,3646.5
431421.9,467675.6,3625.9
431622.7,471407.3,3605.3
431823.5,475139.0,3584.6
433349.6,478404.5,3566.6
435529.3,481440.1,3549.8
